Time,AverageCPU,Sessions,Pheromone
20700.01,4,0.465,76.75,65.88160000000012
20760.01,4,0.4,76.0,64.88160000000012
20820.01,4,0.27999999999999997,75.75,66.40160000000014
20880.01,4,0.28,75.25,65.40160000000014
20940.01,4,0.2,75.0,67.56160000000014
21000.01,4,0.2,75.0,66.56160000000014
21060.01,4,0.28,75.5,68.40160000000014
21120.01,4,0.32,75.5,67.40160000000014
21180.01,4,0.3625,76.0,68.92160000000014
21240.01,4,0.24,75.25,67.92160000000014
21300.01,4,0.27999999999999997,75.75,69.92160000000014
21360.01,4,0.32,75.75,68.92160000000014
21420.01,4,0.24000000000000002,75.25,70.60160000000015
21480.01,4,0.24,75.5,69.60160000000015
21540.01,4,0.28,75.5,71.28160000000015
21600.01,4,0.28,75.5,70.28160000000015
21660.01,4,0.51,76.75,71.23480000000015
21720.01,4,0.495,76.25,70.23480000000015
21780.01,4,0.8474999999999999,78.25,69.69400000000014
21840.01,4,0.6575,78.75,68.69400000000014
21900.01,4,0.6925000000000001,80.25,69.09360000000015
21960.01,4,0.6275000000000001,82.0,68.09360000000015
22020.01,4,0.705,83.0,68.77120000000016
22080.01,4,0.7075,84.25,67.77120000000016
22140.01,4,0.595,85.75,68.48960000000017
22200.01,4,0.705,87.0,67.48960000000017
22260.01,4,0.6225,88.5,67.76800000000017
22320.01,4,0.655,89.25,66.76800000000017
22380.01,4,0.475,90.25,66.95760000000017
22440.01,4,0.69,92.25,65.95760000000017
22500.01,4,0.82,94.25,65.98160000000017
22560.01,4,0.6475,95.5,64.98160000000017
22620.01,4,0.665,96.0,65.85080000000016
22680.01,4,0.675,97.5,64.85080000000016
22740.01,4,0.6225,98.75,64.97240000000016
22800.01,4,0.77,99.75,63.972400000000164
22860.01,4,0.5225000000000001,99.25,64.45480000000016
22920.01,4,0.45,98.5,63.45480000000016
22980.01,4,0.465,98.75,64.51040000000016
23040.01,4,0.7,100.0,63.51040000000016
23100.01,4,0.6624999999999999,102.0,64.00960000000016
23160.01,4,0.6275,102.25,63.00960000000016
23220.01,4,0.6625000000000001,104.25,63.460800000000155
23280.01,4,0.6074999999999999,105.75,62.460800000000155
23340.01,4,0.7275,107.25,62.56080000000016
23400.01,4,0.65,108.25,61.56080000000016
23460.01,4,0.4875,109.0,62.555600000000155
23520.01,4,0.4225,110.0,61.555600000000155
23580.01,4,0.7175,112.0,61.52840000000015
23640.01,4,0.7475,112.0,60.52840000000015
23700.01,4,0.7949999999999999,113.0,60.89160000000016
23760.01,4,0.6575,114.0,59.89160000000016
23820.01,4,0.55,114.75,60.84360000000015
23880.01,4,0.5875,116.0,59.84360000000015
23940.01,4,0.6325,117.5,60.36960000000015
24000.01,4,0.5975,118.25,59.36960000000015
24060.01,4,0.655,120.75,59.46960000000015
24120.01,4,0.695,123.0,58.46960000000015
24180.01,4,0.5774999999999999,124.75,59.14240000000015
24240.01,4,0.645,124.75,58.14240000000015
24300.01,4,0.6649999999999999,126.25,58.319200000000144
24360.01,4,0.63,128.0,57.319200000000144
24420.01,4,0.7025,129.0,57.31520000000015
24480.01,3,0.79,129.5,56.31520000000015
24540.01,3,0.5499999999999999,128.75,57.91680000000014
24600.01,4,0.37,129.5,56.91680000000014
24660.01,4,0.41,130.0,57.786800000000135
24720.01,4,0.675,131.25,56.786800000000135
24780.01,4,0.655,131.5,56.871600000000115
24840.01,4,0.49,131.0,55.871600000000115
24900.01,4,0.6675,132.0,56.671600000000126
24960.01,4,0.6900000000000001,131.75,55.671600000000126
25020.01,4,0.7525,132.5,56.10200000000012
25080.01,4,0.7725,134.0,55.10200000000012
25140.01,4,0.6775,136.25,55.911600000000114
25200.01,4,0.755,137.75,54.911600000000114
25260.01,4,0.665,139.75,55.35320000000011
25320.01,4,0.715,140.75,54.35320000000011
25380.01,4,0.6325,143.0,55.12480000000011
25440.01,4,0.5775,144.75,54.12480000000011
25500.01,4,0.75,146.25,54.96320000000009
25560.01,4,0.55,148.75,53.96320000000009
25620.01,4,0.6799999999999999,150.25,54.242400000000096
25680.01,4,0.6075,151.25,53.242400000000096
25740.01,4,0.72,153.25,53.56960000000009
25800.01,4,0.6175,155.25,52.56960000000009
25860.01,4,0.6775000000000001,157.5,53.052000000000085
25920.01,4,0.6275000000000001,158.25,52.052000000000085
25980.01,4,0.745,160.25,51.87760000000006
26040.01,4,0.6725,161.75,50.87760000000006
26100.01,4,0.69,163.0,51.415200000000056
26160.01,4,0.5974999999999999,165.25,50.415200000000056
