Time,AverageCPU,Sessions,Pheromone
33660.01,5,0.4800000000000001,294.8,NaN
33720.01,5,0.5239999999999999,297.0,NaN
33780.01,5,0.48600000000000004,300.4,NaN
33840.01,5,0.358,302.0,NaN
33900.01,5,0.376,304.4,NaN
33960.01,5,0.42800000000000005,307.8,NaN
34020.01,5,0.48200000000000004,310.8,NaN
34080.01,5,0.504,312.0,NaN
34140.01,5,0.382,315.2,NaN
34200.01,5,0.5839999999999999,317.8,NaN
34260.01,5,0.27199999999999996,320.6,NaN
34320.01,5,0.522,322.8,NaN
34380.01,5,0.48599999999999993,326.2,NaN
34440.01,5,0.542,328.4,NaN
34500.01,5,0.40199999999999997,330.2,NaN
34560.01,5,0.45199999999999996,332.2,NaN
34620.01,5,0.48200000000000004,335.2,NaN
34680.01,5,0.262,339.0,NaN
34740.01,5,0.37,340.6,NaN
34800.01,5,0.388,343.0,NaN
34860.01,5,0.422,346.4,NaN
34920.01,5,0.352,349.2,NaN
34980.01,5,0.32799999999999996,351.6,NaN
35040.01,5,0.518,352.8,NaN
35100.01,5,0.384,354.8,NaN
35160.01,5,0.496,356.2,NaN
35220.01,5,0.61,359.2,NaN
35280.01,5,0.404,361.4,NaN
35340.01,5,0.458,364.0,NaN
35400.01,5,0.41600000000000004,366.8,NaN
35460.01,5,0.346,369.4,NaN
35520.01,5,0.35600000000000004,372.2,NaN
35580.01,5,0.256,374.2,NaN
35640.01,5,0.388,377.6,NaN
35700.01,5,0.286,380.8,NaN
35760.01,5,0.346,383.0,NaN
35820.01,5,0.21600000000000003,384.4,NaN
35880.01,5,0.41,386.6,NaN
35940.01,5,0.388,389.8,NaN
36000.01,5,0.42000000000000004,392.0,NaN
36060.01,5,0.534,395.8,NaN
36120.01,5,0.5800000000000001,398.8,NaN
36180.01,5,0.472,403.6,NaN
36240.01,5,0.44800000000000006,407.2,NaN
36300.01,5,0.5780000000000001,410.4,NaN
36360.01,5,0.294,413.8,NaN
36420.01,5,0.28800000000000003,416.8,NaN
36480.01,5,0.33599999999999997,419.6,NaN
36540.01,5,0.33799999999999997,423.6,NaN
36600.01,5,0.36200000000000004,425.6,NaN
36660.01,5,0.47000000000000003,428.4,NaN
36720.01,5,0.43200000000000005,431.6,NaN
36780.01,5,0.618,435.6,NaN
36840.01,5,0.632,438.6,NaN
36900.01,5,0.6039999999999999,441.4,NaN
36960.01,5,0.4120000000000001,444.0,NaN
37020.01,5,0.6759999999999999,448.0,NaN
37080.01,5,0.32,450.8,NaN
37140.01,5,0.36,454.6,NaN
37200.01,5,0.458,459.0,NaN
37260.01,5,0.33199999999999996,462.8,NaN
37320.01,5,0.308,467.4,NaN
37380.01,5,0.43,471.4,NaN
37440.01,5,0.53,474.2,NaN
37500.01,5,0.576,479.2,NaN
37560.01,5,0.26799999999999996,482.4,NaN
37620.01,5,0.574,485.4,NaN
37680.01,5,0.334,488.4,NaN
37740.01,5,0.624,491.8,NaN
37800.01,5,0.504,495.6,NaN
37860.01,5,0.562,499.2,NaN
37920.01,5,0.5700000000000001,501.6,NaN
37980.01,5,0.666,504.6,NaN
38040.01,5,0.6519999999999999,509.0,NaN
38100.01,5,0.752,512.6,NaN
38160.01,5,0.236,515.6,NaN
38220.01,5,0.544,519.0,NaN
38280.01,5,0.334,522.8,NaN
38340.01,5,0.36,525.6,NaN
38400.01,5,0.316,529.2,NaN
38460.01,5,0.3,532.4,NaN
38520.01,5,0.584,535.2,NaN
38580.01,5,0.4539999999999999,537.8,NaN
