Time,Servers,AverageCPU,Sessions,Pheromone
145981.01,3,0.5133333333333333,58.0,65.2848888888859
146041.01,3,0.30666666666666664,58.0,66.49733333333035
146101.01,3,0.5366666666666667,75.0,66.12666666666367
146161.01,3,0.3333333333333333,87.0,65.45999999999701
146221.01,3,0.4166666666666667,86.0,65.10711111110805
146281.01,3,0.42,87.0,66.87777777777467
146341.01,3,0.32,82.0,67.14444444444125
146401.01,3,0.57,58.0,67.86444444444108
146461.01,3,0.5666666666666667,54.0,68.4173333333298
146521.01,3,0.6066666666666668,54.0,66.60399999999636
146581.01,3,0.18333333333333335,61.0,64.14622222221846
146641.01,3,0.4166666666666667,77.0,63.78533333332945
146701.01,3,0.7933333333333333,87.0,62.11688888888492
146761.01,3,0.5066666666666666,83.0,61.63333333332975
146821.01,3,0.3833333333333333,70.0,60.76044444444077
146881.01,3,0.41,74.0,62.26266666666286
146941.01,3,0.42,74.0,60.72488888888503
147001.01,3,0.4033333333333333,80.0,60.483111111107206
147061.01,3,0.7833333333333332,85.0,61.12044444444041
147121.01,3,0.38333333333333336,76.0,61.89199999999581
147181.01,3,0.48666666666666664,79.0,63.01111111110689
147241.01,3,0.7666666666666666,79.0,63.18622222221793
147301.01,3,0.4666666666666666,90.0,62.890222222217936
147361.01,3,0.5466666666666667,92.0,65.01822222221774
147421.01,3,0.4466666666666667,90.0,64.77466666666216
147481.01,3,0.22,71.0,65.95422222221758
147541.01,3,0.54,72.0,66.24755555555082
147601.01,3,0.41,52.0,66.52755555555073
147661.01,3,0.2866666666666667,53.0,67.3879999999951
147721.01,3,0.45999999999999996,69.0,68.04399999999494
147781.01,3,0.5766666666666667,67.0,66.57733333332828
147841.01,3,0.5866666666666667,79.0,66.76488888888376
147901.01,3,0.4766666666666666,82.0,66.62088888888364
147961.01,3,0.35333333333333333,82.0,68.97377777777238
148021.01,3,0.39999999999999997,73.0,68.60488888888341
148081.01,3,0.5833333333333334,64.0,68.5524444444407
148141.01,3,0.5633333333333334,53.0,68.67511111110734
148201.01,3,0.2866666666666667,52.0,69.27511111110732
148261.01,3,0.48666666666666675,64.0,68.78977777777388
148321.01,3,0.48,69.0,68.6875555555516
148381.01,3,0.42333333333333334,70.0,68.92133333332941
148441.01,3,0.5366666666666666,71.0,67.38177777777388
148501.01,3,0.7200000000000001,65.0,69.15066666666274
148561.01,3,0.5366666666666666,61.0,68.98444444444046
148621.01,3,0.24333333333333332,51.0,68.94355555555161
148681.01,3,0.33666666666666667,57.0,68.81911111110709
148741.01,3,0.47000000000000003,54.0,69.67511111110706
148801.01,3,0.5733333333333334,61.0,70.66977777777356
148861.01,3,0.3566666666666667,65.0,71.26622222221793
148921.01,3,0.26333333333333336,67.0,71.04311111110673
148981.01,3,0.24666666666666667,72.0,69.73466666666222
149041.01,3,0.46,65.0,69.50622222221806
149101.01,3,0.44333333333333336,61.0,68.63155555555136
149161.01,3,0.73,66.0,70.08311111110673
149221.01,3,0.7766666666666667,66.0,69.76666666666223
149281.01,3,0.58,65.0,70.92311111110688
149341.01,3,0.4000000000000001,63.0,70.84844444444013
149401.01,3,0.5766666666666667,57.0,71.57111111110684
149461.01,3,0.4466666666666667,51.0,70.77911111110681
149521.01,3,0.5266666666666667,60.0,70.78444444444001
149581.01,3,0.4033333333333333,59.0,70.29822222221785
149641.01,3,0.56,62.0,68.70977777777328
149701.01,3,0.3566666666666667,67.0,70.42622222221765
149761.01,3,0.54,62.0,70.11333333332887
149821.01,3,0.47333333333333333,67.0,69.45644444443991
149881.01,3,0.61,57.0,70.62533333332864
149941.01,3,0.42333333333333334,55.0,70.3133333333288
150001.01,3,0.3833333333333333,48.0,70.25377777777315
150061.01,3,0.3933333333333333,50.0,70.7711111111064
150121.01,3,0.45,44.0,69.5595555555509
150181.01,3,0.5166666666666667,50.0,71.22888888888417
150241.01,3,0.41333333333333333,58.0,72.15066666666186
150301.01,3,0.6466666666666666,62.0,72.58266666666178
150361.01,3,0.5133333333333333,75.0,73.63422222221713
150421.01,3,0.66,71.0,74.51244444443934
150481.01,3,0.5933333333333333,58.0,74.10622222221701
150541.01,3,0.53,56.0,72.49733333332806
150601.01,3,0.43,56.0,73.04488888888352
150661.01,3,0.4166666666666667,67.0,75.84666666666122
150721.01,3,0.36333333333333334,70.0,74.41911111110555
150781.01,3,0.42333333333333334,70.0,73.64399999999438
150841.01,3,0.71,65.0,73.14266666666168
150901.01,3,0.3566666666666667,62.0,75.66266666666158
150961.01,3,0.3233333333333333,66.0,75.64222222221701
151021.01,3,0.38000000000000006,64.0,75.41911111110598
151081.01,3,0.5399999999999999,65.0,74.50533333332811
151141.01,3,0.3466666666666667,64.0,77.12933333332803
151201.01,3,0.5666666666666668,68.0,76.73555555555022
151261.01,3,0.5766666666666667,64.0,76.36933333332796
151321.01,3,0.22666666666666668,50.0,76.02799999999468
151381.01,3,0.34,37.0,76.57377777777243
151441.01,3,0.37333333333333335,25.0,76.1497777777724
151501.01,3,0.5333333333333333,21.0,75.42888888888352
151561.01,3,0.35000000000000003,20.0,76.06977777777236
151621.01,3,0.49666666666666665,26.0,77.91688888888326
151681.01,3,0.5366666666666667,31.0,78.42622222221647
151741.01,3,0.35000000000000003,31.0,76.79155555554983
151801.01,3,0.48,29.0,78.23333333332744
151861.01,3,0.47000000000000003,26.0,78.40577777777185
151921.01,3,0.5266666666666667,24.0,76.85822222221616
151981.01,3,0.5566666666666666,22.0,76.13466666666052
152041.01,3,0.34,20.0,75.51244444443834
152101.01,3,0.4833333333333334,19.0,77.7444444444388
152161.01,3,0.5566666666666668,17.0,77.21466666666095
152221.01,3,0.57,24.0,78.16311111110531
152281.01,3,0.5766666666666667,31.0,78.52666666666074
152341.01,3,0.38000000000000006,36.0,78.0226666666606
152401.01,3,0.42333333333333334,34.0,79.72044444443834
152461.01,3,0.4466666666666666,24.0,79.13288888888269
152521.01,3,0.49333333333333335,20.0,79.61733333332745
152581.01,3,0.5066666666666667,27.0,79.96577777777179
152641.01,3,0.5266666666666667,29.0,80.30177777777168
152701.01,3,0.38666666666666666,28.0,81.00044444443817
152761.01,3,0.38999999999999996,28.0,81.30799999999391
152821.01,3,0.5433333333333333,23.0,80.99955555554949
152881.01,3,0.46,21.0,80.24933333332727
152941.01,3,0.32666666666666666,19.0,80.29822222221615
