Time,Servers,AverageCPU,Sessions,Pheromone
22020.01,5,0.5040000000000001,19.0,NaN
22080.01,5,0.41200000000000003,17.0,NaN
22140.01,5,0.582,18.0,NaN
22200.01,5,0.41600000000000004,16.0,NaN
22260.01,5,0.45,16.0,NaN
22320.01,5,0.5680000000000001,16.0,NaN
22380.01,5,0.5820000000000001,19.0,NaN
22440.01,5,0.5860000000000001,21.0,NaN
22500.01,5,0.4779999999999999,21.0,NaN
22560.01,5,0.374,19.0,NaN
22620.01,5,0.404,21.0,NaN
22680.01,5,0.41,20.0,NaN
22740.01,5,0.33599999999999997,14.0,NaN
22800.01,5,0.46399999999999997,19.0,NaN
22860.01,5,0.426,16.0,NaN
22920.01,5,0.45999999999999996,20.0,NaN
22980.01,5,0.43600000000000005,19.0,NaN
23040.01,5,0.396,18.0,NaN
23100.01,5,0.46799999999999997,18.0,NaN
23160.01,5,0.45599999999999996,26.0,NaN
23220.01,5,0.434,20.0,NaN
23280.01,5,0.43,21.0,NaN
23340.01,5,0.496,21.0,NaN
23400.01,5,0.454,27.0,NaN
23460.01,5,0.41,28.0,NaN
23520.01,5,0.35200000000000004,24.0,NaN
23580.01,5,0.40800000000000003,16.0,NaN
23640.01,5,0.248,8.0,NaN
23700.01,5,0.382,12.0,NaN
23760.01,5,0.45999999999999996,11.0,NaN
23820.01,5,0.47800000000000004,17.0,NaN
23880.01,5,0.4640000000000001,16.0,NaN
23940.01,5,0.472,15.0,NaN
24000.01,5,0.43999999999999995,15.0,NaN
24060.01,5,0.364,12.0,NaN
24120.01,5,0.528,18.0,NaN
24180.01,5,0.338,21.0,NaN
24240.01,5,0.38599999999999995,20.0,NaN
24300.01,5,0.368,15.0,NaN
24360.01,5,0.4779999999999999,13.0,NaN
24420.01,5,0.454,14.0,NaN
24480.01,5,0.52,15.0,NaN
24540.01,5,0.466,13.0,NaN
24600.01,5,0.44799999999999995,11.0,NaN
24660.01,5,0.484,12.0,NaN
24720.01,5,0.5419999999999999,13.0,NaN
24780.01,5,0.504,18.0,NaN
24840.01,5,0.5279999999999999,16.0,NaN
24900.01,5,0.44800000000000006,15.0,NaN
24960.01,5,0.4779999999999999,13.0,NaN
25020.01,5,0.5660000000000001,17.0,NaN
25080.01,5,0.488,19.0,NaN
25140.01,5,0.47000000000000003,20.0,NaN
25200.01,5,0.466,20.0,NaN
25260.01,5,0.426,20.0,NaN
25320.01,5,0.34800000000000003,19.0,NaN
25380.01,5,0.386,17.0,NaN
25440.01,5,0.364,17.0,NaN
25500.01,5,0.49400000000000005,28.0,NaN
25560.01,5,0.502,28.0,NaN
25620.01,5,0.36800000000000005,27.0,NaN
25680.01,5,0.34199999999999997,25.0,NaN
25740.01,5,0.368,17.0,NaN
25800.01,5,0.396,15.0,NaN
25860.01,5,0.44000000000000006,17.0,NaN
25920.01,5,0.392,16.0,NaN
25980.01,5,0.42400000000000004,19.0,NaN
26040.01,5,0.5700000000000001,22.0,NaN
26100.01,5,0.45999999999999996,23.0,NaN
26160.01,5,0.368,21.0,NaN
26220.01,5,0.336,20.0,NaN
